,bleu,chrf,cross-entropy,perplexity
0,0 days 00:02:47,0 days 00:02:52,0 days 00:00:07,0 days 00:00:06
1,0 days 00:02:50,0 days 00:02:55,0 days 00:00:07,0 days 00:00:06
2,0 days 00:03:04,0 days 00:03:13,0 days 00:00:07,0 days 00:00:06
3,0 days 00:03:01,0 days 00:03:06,0 days 00:00:07,0 days 00:00:06
4,0 days 00:07:49,0 days 00:03:09,0 days 00:00:07,0 days 00:00:06
5,0 days 00:02:56,0 days 00:02:58,0 days 00:00:06,0 days 00:00:07
6,0 days 00:03:04,0 days 00:03:13,0 days 00:00:06,0 days 00:00:06
7,0 days 00:03:08,0 days 00:03:13,0 days 00:00:07,0 days 00:00:06
8,0 days 00:05:11,0 days 00:03:20,0 days 00:00:06,0 days 00:00:07
9,0 days 00:03:17,0 days 00:03:20,0 days 00:00:06,0 days 00:00:07
10,0 days 00:03:12,0 days 00:03:17,0 days 00:00:06,0 days 00:00:06
11,0 days 00:03:13,0 days 00:03:18,0 days 00:00:06,0 days 00:00:07
12,0 days 00:02:46,0 days 00:02:51,0 days 00:00:06,0 days 00:00:07
13,0 days 00:09:39,0 days 00:03:01,0 days 00:00:07,0 days 00:00:06
14,0 days 00:03:05,0 days 00:03:11,0 days 00:00:06,0 days 00:00:07
15,0 days 00:02:57,0 days 00:03:02,0 days 00:00:06,0 days 00:00:06
16,0 days 00:03:13,0 days 00:03:21,0 days 00:00:07,0 days 00:00:06
17,0 days 00:06:49,0 days 00:02:58,0 days 00:00:07,0 days 00:00:06
18,0 days 00:03:12,0 days 00:03:14,0 days 00:00:06,0 days 00:00:07
